,Accuracy,Recall,Precision,Train time
tokenTfidf,0.4,0.0,0.0,0.033470869064331055
tokenTfidf,0.9,0.9,0.9,0.0307769775390625
tokenTfidf,0.55,0.3,0.6,0.030128002166748047
tokenTfidf,0.9,0.8,1.0,0.030534029006958008
tokenTfidf,0.7,0.8,0.6666666666666666,0.03034496307373047
tokenTfidf,0.9,0.8,1.0,0.02997279167175293
tokenTfidf,0.75,0.9,0.6923076923076923,0.030852794647216797
tokenTfidf,0.95,0.9,1.0,0.030242919921875
tokenTfidf,0.7,0.4,1.0,0.030364036560058594
tokenTfidf,0.75,0.5,1.0,0.02938103675842285
stopwords,0.45,0.0,0.0,0.10046005249023438
stopwords,0.85,0.9,0.8181818181818182,0.0908501148223877
stopwords,0.45,0.3,0.42857142857142855,0.08510208129882812
stopwords,0.6,0.2,1.0,0.08189201354980469
stopwords,0.75,1.0,0.6666666666666666,0.08582520484924316
stopwords,0.8,0.9,0.75,0.08817100524902344
stopwords,0.55,1.0,0.5263157894736842,0.08296418190002441
stopwords,0.85,0.9,0.8181818181818182,0.09150505065917969
stopwords,0.65,0.4,0.8,0.08765101432800293
stopwords,0.9,1.0,0.8333333333333334,0.08200979232788086
stopwordsTfidf,0.35,0.0,0.0,0.029488086700439453
stopwordsTfidf,0.95,0.9,1.0,0.029299020767211914
stopwordsTfidf,0.55,0.1,1.0,0.029330015182495117
stopwordsTfidf,0.85,0.7,1.0,0.028649091720581055
stopwordsTfidf,0.75,0.8,0.7272727272727273,0.029021024703979492
stopwordsTfidf,0.9,0.8,1.0,0.03701019287109375
stopwordsTfidf,0.95,1.0,0.9090909090909091,0.04027819633483887
stopwordsTfidf,0.9,0.8,1.0,0.030668020248413086
stopwordsTfidf,0.7,0.4,1.0,0.039134979248046875
stopwordsTfidf,0.95,1.0,0.9090909090909091,0.03295087814331055
stemming,0.35,0.0,0.0,0.08617806434631348
stemming,0.75,0.6,0.8571428571428571,0.07374310493469238
stemming,0.6,0.2,1.0,0.10006403923034668
stemming,0.6,0.3,0.75,0.09708309173583984
stemming,0.75,1.0,0.6666666666666666,0.08196091651916504
stemming,0.75,0.9,0.6923076923076923,0.08720517158508301
stemming,0.75,1.0,0.6666666666666666,0.10029101371765137
stemming,0.9,1.0,0.8333333333333334,0.09000992774963379
stemming,0.6,0.6,0.6,0.1389780044555664
stemming,0.9,1.0,0.8333333333333334,0.09329485893249512
stemmingTfidf,0.35,0.0,0.0,0.02501392364501953
stemmingTfidf,0.95,0.9,1.0,0.0280458927154541
stemmingTfidf,0.55,0.2,0.6666666666666666,0.02469801902770996
stemmingTfidf,0.9,0.8,1.0,0.028506040573120117
stemmingTfidf,0.65,0.8,0.6153846153846154,0.03445887565612793
stemmingTfidf,0.9,0.8,1.0,0.03434395790100098
stemmingTfidf,0.75,0.9,0.6923076923076923,0.02623891830444336
stemmingTfidf,0.95,0.9,1.0,0.027146100997924805
stemmingTfidf,0.7,0.4,1.0,0.03065204620361328
stemmingTfidf,0.9,0.9,0.9,0.034974098205566406
stopNstem,0.35,0.0,0.0,0.0812678337097168
stopNstem,0.75,0.6,0.8571428571428571,0.08638691902160645
stopNstem,0.6,0.2,1.0,0.09932112693786621
stopNstem,0.6,0.3,0.75,0.10147714614868164
stopNstem,0.75,1.0,0.6666666666666666,0.10193800926208496
stopNstem,0.75,0.9,0.6923076923076923,0.11735081672668457
stopNstem,0.75,1.0,0.6666666666666666,0.0847930908203125
stopNstem,0.9,1.0,0.8333333333333334,0.08299803733825684
stopNstem,0.6,0.6,0.6,0.09216690063476562
stopNstem,0.9,1.0,0.8333333333333334,0.0693368911743164
info_gain,0.5,0.0,0.0,0.014477014541625977
info_gain,0.7,0.4,1.0,0.014608144760131836
info_gain,0.55,0.2,0.6666666666666666,0.01600813865661621
info_gain,0.6,0.2,1.0,0.014940023422241211
info_gain,0.6,1.0,0.5555555555555556,0.013900995254516602
info_gain,0.55,0.9,0.5294117647058824,0.014903068542480469
info_gain,0.75,1.0,0.6666666666666666,0.015397071838378906
info_gain,0.9,1.0,0.8333333333333334,0.01468801498413086
info_gain,0.75,1.0,0.6666666666666666,0.015056133270263672
info_gain,0.5,0.0,0.0,0.012916803359985352
stopNstemTfidf,0.35,0.0,0.0,0.02502608299255371
stopNstemTfidf,0.95,0.9,1.0,0.024194955825805664
stopNstemTfidf,0.55,0.2,0.6666666666666666,0.03543806076049805
stopNstemTfidf,0.9,0.8,1.0,0.02715611457824707
stopNstemTfidf,0.65,0.8,0.6153846153846154,0.025973081588745117
stopNstemTfidf,0.9,0.8,1.0,0.038110971450805664
stopNstemTfidf,0.75,0.9,0.6923076923076923,0.03135395050048828
stopNstemTfidf,0.95,0.9,1.0,0.04397320747375488
stopNstemTfidf,0.7,0.4,1.0,0.0369718074798584
stopNstemTfidf,0.9,0.9,0.9,0.03081512451171875
token,0.4,0.0,0.0,0.1594710350036621
token,0.75,0.5,1.0,0.1574850082397461
token,0.55,0.4,0.5714285714285714,0.11628293991088867
token,0.6,0.3,0.75,0.1407458782196045
token,0.7,1.0,0.625,0.11181998252868652
token,0.75,0.9,0.6923076923076923,0.10959386825561523
token,0.65,1.0,0.5882352941176471,0.09080815315246582
token,0.9,1.0,0.8333333333333334,0.11249399185180664
token,0.7,0.6,0.75,0.10803794860839844
token,0.8,0.9,0.75,0.12909197807312012
